x,Vx,Vy,Speed
0.84,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.119999999,0.0,0.0,0.0
1.119999999,0.0,0.0,0.0
1.119999999,0.0,0.0,0.0
1.139999999,0.0,0.0,0.0
1.139999999,0.0,0.0,0.0
1.139999999,0.0,0.0,0.0
1.159999999,0.0,0.0,0.0
1.159999999,0.0,0.0,0.0
1.159999999,0.0,0.0,0.0
1.159999999,0.0,0.0,0.0
1.18,0.0,0.0,0.0
1.18,0.0,0.0,0.0
1.18,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.22,0.0,0.0,0.0
1.22,0.0,0.0,0.0
1.22,0.0,0.0,0.0
1.22,0.0,0.0,0.0
1.24,0.0,0.0,0.0
1.24,0.0,0.0,0.0
1.24,0.0,0.0,0.0
1.26,0.0,0.0,0.0
1.26,0.0,0.0,0.0
1.26,0.0,0.0,0.0
1.28,0.0,0.0,0.0
1.28,0.0,0.0,0.0
1.28,0.0,0.0,0.0
1.28,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.319999999,0.0,0.0,0.0
1.319999999,0.0,0.0,0.0
1.319999999,0.0,0.0,0.0
1.319999999,0.0,0.0,0.0
1.339999999,0.0,0.0,0.0
1.339999999,0.0,0.0,0.0
1.339999999,0.0,0.0,0.0
1.359999999,0.0,0.0,0.0
1.359999999,0.0,0.0,0.0
1.359999999,0.0,0.0,0.0
1.379999999,0.0,0.0,0.0
1.379999999,0.0,0.0,0.0
1.379999999,0.0,0.0,0.0
1.379999999,0.0,0.0,0.0
1.399999999,0.0,0.0,0.0
1.399999999,0.0,0.0,0.0
1.399999999,0.0,0.0,0.0
1.42,0.0,0.0,0.0
1.42,0.0,0.0,0.0
1.42,0.0,0.0,0.0
1.44,0.0,0.0,0.0
1.44,0.0,0.0,0.0
1.44,0.0,0.0,0.0
1.44,0.0,0.0,0.0
1.46,0.0,0.0,0.0
1.46,0.0,0.0,0.0
1.46,0.0,0.0,0.0
1.48,0.0,0.0,0.0
1.48,0.0,0.0,0.0
1.48,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.52,0.0,0.0,0.0
1.52,0.0,0.0,0.0
1.52,0.0,0.0,0.0
1.54,0.0,0.0,0.0
1.54,0.0,0.0,0.0
1.54,0.0,0.0,0.0
1.54,0.0,0.0,0.0
1.56,0.0,0.0,0.0
1.56,0.0,0.0,0.0
1.56,0.0,0.0,0.0
1.58,0.0,0.0,0.0
1.58,0.0,0.0,0.0
1.58,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.62,0.0,0.0,0.0
1.62,0.0,0.0,0.0
1.62,0.0,0.0,0.0
1.6400000000000001,0.0,0.0,0.0
1.6400000000000001,0.0,0.0,0.0
1.6400000000000001,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0
1.6600000000000001,0.0,0.0,0.0
1.68,0.0,0.0,0.0
1.68,0.0,0.0,0.0
1.68,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.72,0.0,0.0,0.0
1.72,0.0,0.0,0.0
1.72,0.0,0.0,0.0
1.72,0.0,0.0,0.0
1.74,0.0,0.0,0.0
1.74,0.0,0.0,0.0
1.74,0.0,0.0,0.0
1.76,0.0,0.0,0.0
1.76,0.0,0.0,0.0
1.76,0.0,0.0,0.0
1.78,0.0,0.0,0.0
1.78,0.0,0.0,0.0
1.78,0.0,0.0,0.0
1.78,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.819999999,0.0,0.0,0.0
1.819999999,0.0,0.0,0.0
1.819999999,0.0,0.0,0.0
1.839999999,0.0,0.0,0.0
1.839999999,0.0,0.0,0.0
1.839999999,0.0,0.0,0.0
1.839999999,0.0,0.0,0.0
1.859999999,0.0,0.0,0.0
1.859999999,0.0,0.0,0.0
1.859999999,0.0,0.0,0.0
1.88,0.0,0.0,0.0
1.88,0.0,0.0,0.0
1.88,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.92,0.0,0.0,0.0
1.92,0.0,0.0,0.0
1.92,0.0,0.0,0.0
1.94,0.0,0.0,0.0
1.94,0.0,0.0,0.0
1.94,0.0,0.0,0.0
1.96,0.0,0.0,0.0
1.96,0.0,0.0,0.0
1.96,0.0,0.0,0.0
1.96,0.0,0.0,0.0
1.98,0.0,0.0,0.0
1.98,0.0,0.0,0.0
1.98,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.02,0.0,0.0,0.0
2.02,0.0,0.0,0.0
2.02,0.0,0.0,0.0
2.02,0.0,0.0,0.0
2.04,0.0,0.0,0.0
2.04,0.0,0.0,0.0
2.04,0.0,0.0,0.0
2.06,0.0,0.0,0.0
2.06,0.0,0.0,0.0
2.06,0.0,0.0,0.0
2.08,0.0,0.0,0.0
2.08,0.0,0.0,0.0
2.08,0.0,0.0,0.0
2.08,0.0,0.0,0.0
2.1,0.0,0.0,0.0
2.1,0.0,0.0,0.0
2.1,0.0,0.0,0.0
2.12,0.0,0.0,0.0
2.12,0.0,0.0,0.0
2.12,0.0,0.0,0.0
2.14,0.0,0.0,0.0
2.14,0.0,0.0,0.0
2.14,0.0,0.0,0.0
2.14,0.0,0.0,0.0
2.16,0.0,0.0,0.0
2.16,0.0,0.0,0.0
2.16,0.0,0.0,0.0
2.18,0.0,0.0,0.0
2.18,0.0,0.0,0.0
2.199999999,0.0,0.0,0.0
2.22,0.0,0.0,0.0
2.22,0.0,0.0,0.0
2.239999999,0.0,0.0,0.0
2.259999999,0.0,0.0,0.0
2.2799999989999997,0.0,0.0,0.0
2.299999999,0.0,0.0,0.0
2.299999999,0.0,0.0,0.0
2.3199999989999998,0.0,0.0,0.0
2.339999999,0.0,0.0,0.0
2.359999999,0.0,0.0,0.0
2.379999999,0.0,0.0,0.0
2.379999999,0.0,0.0,0.0
2.399999999,0.0,0.0,0.0
2.42,0.0,0.0,0.0
2.44,0.0,0.0,0.0
2.46,0.0,0.0,0.0
2.46,0.0,0.0,0.0
2.48,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.52,0.0,0.0,0.0
2.54,0.0,0.0,0.0
2.56,0.0,0.0,0.0
